id	k	g	s
8414	0.050	0.000	0.700
8415	0.050	0.100	0.700
8416	0.050	0.200	0.700
8417	0.050	0.300	0.700
8418	0.050	0.400	0.700
8419	0.050	0.500	0.700
8420	0.050	0.600	0.700
8421	0.050	0.700	0.700
8422	0.050	0.800	0.700
8423	0.050	0.900	0.700
8424	0.150	0.000	0.700
8425	0.150	0.100	0.700
8426	0.150	0.200	0.700
8427	0.150	0.300	0.700
8428	0.150	0.400	0.700
8429	0.150	0.500	0.700
8430	0.150	0.600	0.700
8431	0.150	0.700	0.700
8432	0.150	0.800	0.700
8433	0.150	0.900	0.700
8434	0.250	0.000	0.700
8435	0.250	0.100	0.700
8436	0.250	0.200	0.700
8437	0.250	0.300	0.700
8438	0.250	0.400	0.700
8439	0.250	0.500	0.700
8440	0.250	0.600	0.700
8441	0.250	0.700	0.700
8442	0.250	0.800	0.700
8443	0.250	0.900	0.700
8444	0.350	0.000	0.700
8445	0.350	0.100	0.700
8446	0.350	0.200	0.700
8447	0.350	0.300	0.700
8448	0.350	0.400	0.700
8449	0.350	0.500	0.700
8450	0.350	0.600	0.700
8451	0.350	0.700	0.700
8452	0.350	0.800	0.700
8453	0.350	0.900	0.700
8454	0.450	0.000	0.700
8455	0.450	0.100	0.700
8456	0.450	0.200	0.700
8457	0.450	0.300	0.700
8458	0.450	0.400	0.700
8459	0.450	0.500	0.700
8460	0.450	0.600	0.700
8461	0.450	0.700	0.700
8462	0.450	0.800	0.700
8463	0.450	0.900	0.700
8464	0.550	0.000	0.700
8465	0.550	0.100	0.700
8466	0.550	0.200	0.700
8467	0.550	0.300	0.700
8468	0.550	0.400	0.700
8469	0.550	0.500	0.700
8470	0.550	0.600	0.700
8471	0.550	0.700	0.700
8472	0.550	0.800	0.700
8473	0.550	0.900	0.700
8474	0.650	0.000	0.700
8475	0.650	0.100	0.700
8476	0.650	0.200	0.700
